Work Item Type,Title,Description,Parent,Area Path,Iteration Path,Priority,Tags
Epic,Gestion de l'authentification et des rôles,Gérer l’accès sécurisé et les permissions de la plateforme,,Projet Power Automate Docs,,1,authentification;roles
Feature,Authentification utilisateur,Permettre à l’utilisateur de se connecter à la plateforme.,Gestion de l'authentification et des rôles,Projet Power Automate Docs,,1,authentification
User Story,En tant qu’utilisateur; je veux me connecter pour accéder à mes documentations.,Accès sécurisé selon le profil.,Authentification utilisateur,Projet Power Automate Docs,,1,login
Task,Créer l’écran de connexion,Développer l’interface de connexion.,En tant qu’utilisateur; je veux me connecter pour accéder à mes documentations.,Projet Power Automate Docs,,1,ui
Task,Développer l’API d’authentification,Créer les endpoints de connexion et validation.,En tant qu’utilisateur; je veux me connecter pour accéder à mes documentations.,Projet Power Automate Docs,,1,backend
Task,Gérer la session utilisateur,Conserver l’état connecté de l’utilisateur.,En tant qu’utilisateur; je veux me connecter pour accéder à mes documentations.,Projet Power Automate Docs,,1,session
Task,Tester les cas de connexion,Valider les cas valides et invalides.,En tant qu’utilisateur; je veux me connecter pour accéder à mes documentations.,Projet Power Automate Docs,,1,test
Feature,Gestion des rôles,Contrôler les accès selon les profils utilisateur.,Gestion de l'authentification et des rôles,Projet Power Automate Docs,,1,roles
User Story,En tant qu’administrateur; je veux gérer les droits pour sécuriser les actions sensibles.,Les fonctions critiques sont réservées à l’administrateur.,Gestion des rôles,Projet Power Automate Docs,,1,autorisation
Task,Créer le modèle de rôle,Définir les rôles administrateur et utilisateur.,En tant qu’administrateur; je veux gérer les droits pour sécuriser les actions sensibles.,Projet Power Automate Docs,,1,backend
Task,Protéger les routes backend,Empêcher l’accès non autorisé aux ressources sensibles.,En tant qu’administrateur; je veux gérer les droits pour sécuriser les actions sensibles.,Projet Power Automate Docs,,1,backend
Task,Masquer les actions interdites côté interface,Désactiver les boutons non autorisés selon le rôle.,En tant qu’administrateur; je veux gérer les droits pour sécuriser les actions sensibles.,Projet Power Automate Docs,,1,ui
Task,Tester les permissions,Vérifier les accès par rôle.,En tant qu’administrateur; je veux gérer les droits pour sécuriser les actions sensibles.,Projet Power Automate Docs,,1,test
Epic,Importation des flux,Importer les fichiers JSON Power Automate dans la plateforme,,Projet Power Automate Docs,,1,import
Feature,Téléversement JSON,Permettre l’import d’un fichier Power Automate au format JSON.,Importation des flux,Projet Power Automate Docs,,1,json
User Story,En tant qu’utilisateur; je veux importer un flux Power Automate exporté en JSON.,Le fichier importé doit être validé avant traitement.,,Projet Power Automate Docs,,1,import
Task,Créer le composant d’upload,Développer l’interface de sélection de fichier.,En tant qu’utilisateur; je veux importer un flux Power Automate exporté en JSON.,Projet Power Automate Docs,,1,ui
Task,Vérifier la validité du fichier JSON,Contrôler le format et la structure du fichier.,En tant qu’utilisateur; je veux importer un flux Power Automate exporté en JSON.,Projet Power Automate Docs,,1,validation
Task,Envoyer le fichier au backend,Transmettre le fichier importé au service API.,En tant qu’utilisateur; je veux importer un flux Power Automate exporté en JSON.,Projet Power Automate Docs,,1,backend
Task,Gérer les erreurs d’import,Afficher les messages d’erreur en cas de fichier invalide.,En tant qu’utilisateur; je veux importer un flux Power Automate exporté en JSON.,Projet Power Automate Docs,,1,ui
Feature,Sauvegarde des métadonnées,Enregistrer les informations associées au flux importé.,Importation des flux,Projet Power Automate Docs,,1,métadonnées
User Story,En tant qu’utilisateur; je veux conserver les informations du flux importé.,Les métadonnées doivent être sauvegardées avec le document.,Sauvegarde des métadonnées,Projet Power Automate Docs,,1,storage
Task,Créer les champs de métadonnées,Ajouter nom et date et auteur et status,En tant qu’utilisateur; je veux conserver les informations du flux importé.,Projet Power Automate Docs,,1,backend
Task,Relier le flux à sa documentation,Créer l’association entre flux et documentation.,En tant qu’utilisateur; je veux conserver les informations du flux importé.,Projet Power Automate Docs,,1,backend
Task,Enregistrer les données en base,Sauvegarder le flux et ses métadonnées.,En tant qu’utilisateur; je veux conserver les informations du flux importé.,Projet Power Automate Docs,,1,storage
Epic,Préparation des données,Extraire et structurer les informations utiles du flux JSON,,Projet Power Automate Docs,,1,preprocessing
Feature,Lecture du JSON,Parser automatiquement le fichier importé.,Préparation des données,Projet Power Automate Docs,,1,json
User Story,En tant que système; je veux lire automatiquement le fichier importé.,L’application doit extraire les éléments utiles du workflow.,Lecture du JSON,Projet Power Automate Docs,,1,backend
Task,Implémenter le parseur JSON,Développer la lecture structurée du fichier.,En tant que système; je veux lire automatiquement le fichier importé.,Projet Power Automate Docs,,1,backend
Task,Extraire les actions,Récupérer les étapes du flux.,En tant que système; je veux lire automatiquement le fichier importé.,Projet Power Automate Docs,,1,backend
Task,Extraire les conditions et variables,Identifier les dépendances et données de contexte.,En tant que système; je veux lire automatiquement le fichier importé.,Projet Power Automate Docs,,1,backend
Task,Extraire les connecteurs,Identifier les services utilisés par le flux.,En tant que système; je veux lire automatiquement le fichier importé.,Projet Power Automate Docs,,1,backend
Feature,Structuration pour l’IA,Préparer les données avant génération du prompt.,Préparation des données,Projet Power Automate Docs,,1,ai
User Story,En tant que système; je veux préparer les données pour générer le prompt.,Le système doit fournir une structure exploitable par l’IA.,Structuration pour l’IA,Projet Power Automate Docs,,1,ai
Task,Normaliser les données,Convertir les informations extraites dans un format uniforme.,En tant que système; je veux préparer les données pour générer le prompt.,Projet Power Automate Docs,,1,backend
Task,Construire l’objet intermédiaire,Créer le modèle de données pour la génération.,En tant que système; je veux préparer les données pour générer le prompt.,Projet Power Automate Docs,,1,backend
Task,Vérifier la cohérence avant génération,Contrôler les données avant envoi à l’IA.,En tant que système; je veux préparer les données pour générer le prompt.,Projet Power Automate Docs,,1,validation
Epic,Génération IA,Produire automatiquement la documentation à partir du flux,,Projet Power Automate Docs,,1,ia
Feature,Génération du prompt,Construire automatiquement un prompt adapté au flux.,Génération IA,Projet Power Automate Docs,,1,prompt
User Story,En tant que système; je veux construire automatiquement un prompt adapté.,Le prompt doit intégrer les données du flux.,Génération du prompt,Projet Power Automate Docs,,1,ai
Task,Définir le template de prompt,Créer la structure de base du prompt.,En tant que système; je veux construire automatiquement un prompt adapté.,Projet Power Automate Docs,,1,ai
Task,Injecter les données du flux,Ajouter actions et conditions et variables et connecteurs.,En tant que système; je veux construire automatiquement un prompt adapté.,Projet Power Automate Docs,,1,ai
Task,Ajouter les consignes de style,Demander une documentation claire et structurée.,En tant que système; je veux construire automatiquement un prompt adapté.,Projet Power Automate Docs,,1,ai
Task,Tester plusieurs prompts,Comparer la qualité des résultats générés.,En tant que système; je veux construire automatiquement un prompt adapté.,Projet Power Automate Docs,,1,test
Feature,Résumé fonctionnel,Produire un résumé du flux en langage naturel.,Génération IA,Projet Power Automate Docs,,1,summary
User Story,En tant qu’utilisateur; je veux obtenir un résumé du flux.,Le résumé doit expliquer le but global du workflow.,Résumé fonctionnel,Projet Power Automate Docs,,1,ai
Task,Appeler Azure OpenAI,Générer le résumé du flux.,En tant qu’utilisateur; je veux obtenir un résumé du flux.,Projet Power Automate Docs,,1,backend
Task,Afficher le résumé généré,Présenter le résultat dans l’interface.,En tant qu’utilisateur; je veux obtenir un résumé du flux.,Projet Power Automate Docs,,1,ui
Task,Permettre la régénération,Relancer la génération si nécessaire.,En tant qu’utilisateur; je veux obtenir un résumé du flux.,Projet Power Automate Docs,,1,ui
Feature,Détail des étapes,Générer la description de chaque étape du flux.,Génération IA,Projet Power Automate Docs,,1,details
User Story,En tant qu’utilisateur; je veux voir la description de chaque étape.,La documentation doit expliquer les actions et leur rôle.,Détail des étapes,Projet Power Automate Docs,,1,ai
Task,Générer la description des actions,Décrire chaque étape du flux.,En tant qu’utilisateur; je veux voir la description de chaque étape.,Projet Power Automate Docs,,1,ai
Task,Générer les dépendances,Expliquer les relations entre étapes et variables et connecteurs.,En tant qu’utilisateur; je veux voir la description de chaque étape.,Projet Power Automate Docs,,1,ai
Task,Identifier les étapes importantes,Mettre en évidence les étapes clés du flux.,En tant qu’utilisateur; je veux voir la description de chaque étape.,Projet Power Automate Docs,,1,ai
Epic,Édition et mise en forme,Permettre la correction et la mise en page de la documentation,,Projet Power Automate Docs,,1,editor
